name;value;registry
Humidty                                           ;90.35;2023/04/16 21:46:36.000000000
Humidty                                           ;90.5;2023/04/16 21:47:16.000000000
Humidty                                           ;90.3;2023/04/16 21:47:56.000000000
Humidty                                           ;90.5;2023/04/16 21:48:36.000000000
Humidty                                           ;90.55;2023/04/16 21:49:16.000000000
Humidty                                           ;90.6;2023/04/16 21:49:56.000000000
Humidty                                           ;90.2;2023/04/16 21:50:36.000000000
Humidty                                           ;90.4;2023/04/16 21:51:16.000000000
Humidty                                           ;90.35;2023/04/16 21:51:56.000000000
Humidty                                           ;90.45;2023/04/16 21:52:36.000000000
Humidty                                           ;90.35;2023/04/16 21:53:16.000000000
Humidty                                           ;90.35;2023/04/16 21:53:56.000000000
Humidty                                           ;90.25;2023/04/16 21:54:36.000000000
Humidty                                           ;90.25;2023/04/16 21:55:16.000000000
Humidty                                           ;90.45;2023/04/16 21:55:56.000000000
Humidty                                           ;90.2;2023/04/16 21:56:36.000000000
Humidty                                           ;90.6;2023/04/16 21:57:16.000000000
Humidty                                           ;90.3;2023/04/16 21:57:56.000000000
Humidty                                           ;90.2;2023/04/16 21:58:36.000000000
Humidty                                           ;90.15;2023/04/16 21:59:16.000000000
Humidty                                           ;90.45;2023/04/16 21:59:56.000000000
Humidty                                           ;90.5;2023/04/16 22:00:36.000000000
Humidty                                           ;90.6;2023/04/16 22:01:16.000000000
Humidty                                           ;90.45;2023/04/16 22:01:56.000000000
Humidty                                           ;90.45;2023/04/16 22:02:36.000000000
Humidty                                           ;90.4;2023/04/16 22:03:16.000000000
Humidty                                           ;90.1;2023/04/16 22:03:56.000000000
Humidty                                           ;90.5;2023/04/16 22:04:36.000000000
Humidty                                           ;90.5;2023/04/16 22:05:16.000000000
Humidty                                           ;90.3;2023/04/16 22:05:56.000000000
Humidty                                           ;90.45;2023/04/16 22:06:36.000000000
Humidty                                           ;90.5;2023/04/16 22:07:16.000000000
Humidty                                           ;90.5;2023/04/16 22:07:56.000000000
Humidty                                           ;90.5;2023/04/16 22:08:36.000000000
Humidty                                           ;90.6;2023/04/16 22:09:16.000000000
Humidty                                           ;90.4;2023/04/16 22:09:56.000000000
Humidty                                           ;90.5;2023/04/16 22:10:36.000000000
Humidty                                           ;90.5;2023/04/16 22:11:16.000000000
Humidty                                           ;90.2;2023/04/16 22:11:56.000000000
Humidty                                           ;90.35;2023/04/16 22:12:36.000000000
Humidty                                           ;90.45;2023/04/16 22:13:16.000000000
Humidty                                           ;90.25;2023/04/16 22:13:56.000000000
Humidty                                           ;90.65;2023/04/16 22:14:36.000000000
Humidty                                           ;90.45;2023/04/16 22:15:16.000000000
Humidty                                           ;90.45;2023/04/16 22:15:56.000000000
Humidty                                           ;90.35;2023/04/16 22:16:36.000000000
Humidty                                           ;90.35;2023/04/16 22:17:16.000000000
Humidty                                           ;90.3;2023/04/16 22:17:56.000000000
Humidty                                           ;90.35;2023/04/16 22:18:36.000000000
Humidty                                           ;90.5;2023/04/16 22:19:16.000000000
Humidty                                           ;90.35;2023/04/16 22:19:56.000000000
Humidty                                           ;90.15;2023/04/16 22:20:36.000000000
Humidty                                           ;90.35;2023/04/16 22:21:16.000000000
Humidty                                           ;90.35;2023/04/16 22:21:56.000000000
Humidty                                           ;90.55;2023/04/16 22:22:36.000000000
Humidty                                           ;90.6;2023/04/16 22:23:16.000000000
Humidty                                           ;90.4;2023/04/16 22:23:56.000000000
Humidty                                           ;90.3;2023/04/16 22:24:36.000000000
Humidty                                           ;90.55;2023/04/16 22:25:16.000000000
Humidty                                           ;90.55;2023/04/16 22:25:56.000000000
Humidty                                           ;90.3;2023/04/16 22:26:36.000000000
Humidty                                           ;90.35;2023/04/16 22:27:16.000000000
Humidty                                           ;90.5;2023/04/16 22:27:56.000000000
Humidty                                           ;90.3;2023/04/16 22:28:36.000000000
Humidty                                           ;90.55;2023/04/16 22:29:16.000000000
Humidty                                           ;90.3;2023/04/16 22:29:56.000000000
Humidty                                           ;90.55;2023/04/16 22:30:36.000000000
Humidty                                           ;90.55;2023/04/16 22:31:16.000000000
Humidty                                           ;90.3;2023/04/16 22:31:56.000000000
Humidty                                           ;90.5;2023/04/16 22:32:36.000000000
Humidty                                           ;90.5;2023/04/16 22:33:16.000000000
Humidty                                           ;90.4;2023/04/16 22:33:56.000000000
Humidty                                           ;90.4;2023/04/16 22:34:36.000000000
Humidty                                           ;90.55;2023/04/16 22:35:16.000000000
Humidty                                           ;90.35;2023/04/16 22:35:56.000000000
Humidty                                           ;90.35;2023/04/16 22:36:36.000000000
Humidty                                           ;90.35;2023/04/16 22:37:16.000000000
Humidty                                           ;90.5;2023/04/16 22:37:56.000000000
Humidty                                           ;90.4;2023/04/16 22:38:36.000000000
Humidty                                           ;90.4;2023/04/16 22:39:16.000000000
Humidty                                           ;90.6;2023/04/16 22:39:56.000000000
Humidty                                           ;90.4;2023/04/16 22:40:36.000000000
Humidty                                           ;90.5;2023/04/16 22:41:16.000000000
Humidty                                           ;90.2;2023/04/16 22:41:56.000000000
Humidty                                           ;90.3;2023/04/16 22:42:36.000000000
Humidty                                           ;90.55;2023/04/16 22:43:16.000000000
Humidty                                           ;90.5;2023/04/16 22:43:56.000000000
Humidty                                           ;90.45;2023/04/16 22:44:36.000000000
Humidty                                           ;90.55;2023/04/16 22:45:16.000000000
Humidty                                           ;90.35;2023/04/16 22:45:56.000000000
Humidty                                           ;90.5;2023/04/16 22:46:36.000000000
Humidty                                           ;90.35;2023/04/16 21:46:36.000000000
Humidty                                           ;90.5;2023/04/16 21:47:16.000000000
Humidty                                           ;90.3;2023/04/16 21:47:56.000000000
Humidty                                           ;90.5;2023/04/16 21:48:36.000000000
Humidty                                           ;90.55;2023/04/16 21:49:16.000000000
Humidty                                           ;90.6;2023/04/16 21:49:56.000000000
Humidty                                           ;90.2;2023/04/16 21:50:36.000000000
Humidty                                           ;90.4;2023/04/16 21:51:16.000000000
