name;value;registry
Temperature                                       ;22.41;2023/04/16 21:46:39.000000000
Temperature                                       ;22.56;2023/04/16 21:47:19.000000000
Temperature                                       ;22.66;2023/04/16 21:47:59.000000000
Temperature                                       ;22.61;2023/04/16 21:48:39.000000000
Temperature                                       ;22.86;2023/04/16 21:49:19.000000000
Temperature                                       ;22.66;2023/04/16 21:49:59.000000000
Temperature                                       ;22.61;2023/04/16 21:50:39.000000000
Temperature                                       ;22.46;2023/04/16 21:51:19.000000000
Temperature                                       ;22.76;2023/04/16 21:51:59.000000000
Temperature                                       ;22.56;2023/04/16 21:52:39.000000000
Temperature                                       ;22.66;2023/04/16 21:53:19.000000000
Temperature                                       ;22.61;2023/04/16 21:53:59.000000000
Temperature                                       ;22.51;2023/04/16 21:54:39.000000000
Temperature                                       ;22.56;2023/04/16 21:55:19.000000000
Temperature                                       ;22.61;2023/04/16 21:55:59.000000000
Temperature                                       ;22.51;2023/04/16 21:56:39.000000000
Temperature                                       ;22.51;2023/04/16 21:57:19.000000000
Temperature                                       ;22.56;2023/04/16 21:57:59.000000000
Temperature                                       ;22.86;2023/04/16 21:58:39.000000000
Temperature                                       ;22.71;2023/04/16 21:59:19.000000000
Temperature                                       ;22.61;2023/04/16 21:59:59.000000000
Temperature                                       ;22.56;2023/04/16 22:00:39.000000000
Temperature                                       ;22.71;2023/04/16 22:01:19.000000000
Temperature                                       ;22.56;2023/04/16 22:01:59.000000000
Temperature                                       ;23.01;2023/04/16 22:02:39.000000000
Temperature                                       ;22.56;2023/04/16 22:03:19.000000000
Temperature                                       ;22.61;2023/04/16 22:03:59.000000000
Temperature                                       ;22.71;2023/04/16 22:04:39.000000000
Temperature                                       ;22.71;2023/04/16 22:05:19.000000000
Temperature                                       ;22.66;2023/04/16 22:05:59.000000000
Temperature                                       ;22.66;2023/04/16 22:06:39.000000000
Temperature                                       ;22.71;2023/04/16 22:07:19.000000000
Temperature                                       ;22.66;2023/04/16 22:07:59.000000000
Temperature                                       ;22.56;2023/04/16 22:08:39.000000000
Temperature                                       ;22.76;2023/04/16 22:09:19.000000000
Temperature                                       ;22.66;2023/04/16 22:09:59.000000000
Temperature                                       ;22.76;2023/04/16 22:10:39.000000000
Temperature                                       ;22.61;2023/04/16 22:11:19.000000000
Temperature                                       ;22.71;2023/04/16 22:11:59.000000000
Temperature                                       ;22.56;2023/04/16 22:12:39.000000000
Temperature                                       ;22.86;2023/04/16 22:13:19.000000000
Temperature                                       ;22.56;2023/04/16 22:13:59.000000000
Temperature                                       ;22.86;2023/04/16 22:14:39.000000000
Temperature                                       ;22.56;2023/04/16 22:15:19.000000000
Temperature                                       ;22.66;2023/04/16 22:15:59.000000000
Temperature                                       ;22.56;2023/04/16 22:16:39.000000000
Temperature                                       ;22.71;2023/04/16 22:17:19.000000000
Temperature                                       ;22.66;2023/04/16 22:17:59.000000000
